,title,sales
160,"　
ノブナガ先生の幼な妻　






","**5,385pt"
161,"　
叛逆性ミリオンアーサ　






","**5,072pt"
162,"　
川柳少女　






","**5,074pt"
163,"　
ひとりぼっちの○○生活　






","**4,633pt"
164,"　
洗い屋さん　






","**4,201pt"
165,"　
ストライクウィッチーズ　






","**3,978pt"
166,"　
八月のシンデレラナイン　





","**2,901pt"
167,"　
さらざんまい　




","***,818pt"
168,"　
女子かう生　






","**3,201pt"
169,"　
なむあみだ仏っ　






","**3,152pt"
170,"　
超可動ガール　






","**2,407pt"
171,"　
RobiHachi　






","**2,010pt"
172,"　
BAKUMATSUクライシス　






","***,810pt"
173,"　
アイドルマスター シンデレラガールズ劇場　




","***,304pt"
174,"　
KING OF PRISM -Shiny Seven Stars-　



","***,140pt"
175,"　
盾の勇者の成り上がり　







","*54,224pt"
176,"　
かぐや様は告らせたい～天才たちの恋愛頭脳戦～　







","*41,151pt"
177,"　
五等分の花嫁　







","*31,555pt"
178,"　
モブサイコ100 II（第2期）　






","*10,706pt"
179,"　
私に天使が舞い降りた！　







","**8,401pt"
180,"　
BanG Dream! 2nd Season　





","**3,864pt"
181,"　
不機嫌なモノノケ庵 續　







","**9,325pt"
182,"　
上野さんは不器用　







","**7,200pt"
183,"　
同居人はひざ、時々、頭のうえ。　







","**8,650pt"
184,"　
デート・ア・ライブIII　






","**6,189pt"
185,"　
ガーリー・エアフォース　







","**4,663pt"
186,"　
荒野のコトブキ飛行隊　






","**3,468pt"
187,"　
明治東亰恋伽　







","**4,286pt"
188,"　
マナリアフレンズ　







","**3,835pt"
189,"　
えんどろ～！　







","**3,792pt"
190,"　
けものフレンズ2　







","**3,501pt"
191,"　
バーチャルさんはみている　





","**1,669pt"
192,"　
グリムノーツ The Animation　







","**3,263pt"
193,"　
エガオノダイカ　







","**3,206pt"
194,"　
サークレット・プリンセス　







","**3,197pt"
195,"　
B-PROJECT～絶頂＊エモーション～　





","**1,477pt"
196,"　
臨死!! 江古田ちゃん　



","***,517pt"
197,"　
W’z《ウィス""》　






","**1,545pt"
198,"　
ぱすてるメモリーズ　





","**1,243pt"
199,"　
バミューダトライアングル ～カラフル・パストラーレ～　




","***,504pt"
200,"　
ブギーポップは笑わない　







","***,805pt"
201,"　
みにとじ　






","***,557pt"
202,"　
ケムリクサ　



","***,175pt"
203,"　
雨色ココアside G　






","***,379pt"
204,"　
Dimensionハイスクール　







","***,502pt"
205,"　
パパだって、したい　



","***,*98pt"
206,"　
フライングベイビーズ　




","***,190pt"
207,"　
転生したらスライムだった件　






","*71,886pt"
208,"　
ジョジョの奇妙な冒険 黄金の風　






","*54,700pt"
209,"　
ソードアート・オンライン アリシゼーション　







","*50,744pt"
210,"　
とある魔術の禁書目録III　






","*33,257pt"
211,"　
ゴブリンスレイヤー　







","*29,492pt"
212,"　
青春ブタ野郎はバニーガール先輩の夢を見ない　







","*28,545pt"
213,"　
「東京喰種トーキョーグール:re」（第2期）　







","*19,895pt"
214,"　
ツルネ －風舞高校弓道部－　



","**3,161pt"
215,"　
風が強く吹いている　






","*11,373pt"
216,"　
ゾンビランドサガ　






","*11,238pt"
217,"　
抱かれたい男1位に脅されています。　







","*13,539pt"
218,"　
火ノ丸相撲　






","*10,454pt"
219,"　
SSSS.GRIDMAN　







","*12,240pt"
220,"　
ラディアン　




","**4,708pt"
221,"　
おとなの防具屋さん　




","**4,207pt"
222,"　
うちのメイドがウザすぎる！　






","**7,759pt"
223,"　
DOUBLE DECKER! ダグ＆キリル　





","**5,105pt"
224,"　
となりの吸血鬼さん　






","**6,182pt"
225,"　
その時、カノジョは。　



","**1,496pt"
226,"　
ガイコツ書店員 本田さん　






","**5,809pt"
227,"　
叛逆性ミリオンアーサー　





","**4,288pt"
228,"　
俺が好きなのは妹だけど妹じゃない　







","**7,037pt"
229,"　
やがて君になる　






","**5,582pt"
230,"　
ユリシーズ ジャンヌ・ダルクと錬金の騎士　






","**5,427pt"
231,"　
ベルゼブブ嬢のお気に召すまま。　






","**5,170pt"
232,"　
人外さんの嫁　





","**3,702pt"
233,"　
CONCEPTION－コンセプション　






","**4,819pt"
234,"　
RELEASE THE SPYCE　






","**4,675pt"
235,"　
あかねさす少女　






","**3,995pt"
236,"　
おこしやす、ちとせちゃん　





","**2,198pt"
237,"　
アニマエール！　






","**2,866pt"
238,"　
ひもてはうす　






","**2,728pt"
239,"　
メルクストーリア 無気力少年と瓶詰め少女　






","**2,640pt"
240,"　
ソラとウミのアイダ　





","**1,941pt"
241,"　
学園BASARA　






","**2,467pt"
242,"　
宇宙戦艦ティラミスII　






","**1,976pt"
243,"　
閃乱カグラ SHINOVI MASTER ‐東京妖魔篇‐　






","**1,881pt"
244,"　
軒轅剣・蒼き曜　





","**1,277pt"
245,"　
でびどる！　






","**1,332pt"
246,"　
狐狸之声　





","***,886pt"
247,"　
BAKUMATSU　






","**1,077pt"
248,"　
アイドルマスター SideM 理由あってMini！　





","***,555pt"
249,"　
終電後、カプセルホテルで、上司に微熱伝わる夜。　



","***,*25pt"
250,"　
進撃の巨人 Season 3　







","*60,792pt"
251,"　
オーバーロード3　







","*45,174pt"
252,"　
はたらく細胞　







","*39,820pt"
253,"　
異世界魔王と召喚少女の奴隷魔術　







","*18,525pt"
254,"　
中間管理録 トネガワ　






","*13,573pt"
255,"　
あそびあそばせ　







","*22,002pt"
256,"　
百錬の覇王と聖約の戦乙女　





","*11,768pt"
257,"　
ゆらぎ荘の幽奈さん　






","**9,091pt"
258,"　
はねバド！　







","*10,352pt"
259,"　
Free!-Dive to the Future-　





","**5,903pt"
260,"　
すのはら荘の管理人さん　






","**7,476pt"
261,"　
はるかなレシーブ　






","**6,391pt"
262,"　
ちおちゃんの通学路　






","**6,354pt"
263,"　
京都寺町三条のホームズ　






","**4,208pt"
264,"　
ISLAND(アイランド)　



","**1,175pt"
265,"　
Phantom in the Twilight　






","**3,266pt"
266,"　
夢王国と眠れる100人の王子様　






","**3,116pt"
267,"　
ヤマノススメ サードシーズン　






","**3,878pt"
268,"　
少女☆歌劇 レヴュースタァライト　






","**3,692pt"
269,"　
深夜！天才バカボン　






","**3,092pt"
270,"　
プラネット・ウィズ　





","**2,067pt"
271,"　
ロード オブ ヴァーミリオン　紅蓮の王　






","**2,684pt"
272,"　
千銃士　






","**1,870pt"
273,"　
One Room セカンドシーズン　






","**1,912pt"
274,"　
ゾイドワイルド　





","**1,229pt"
275,"　
音楽少女　






","**1,387pt"
276,"　
アイドルマスター シンデレラガールズ劇場　3rd SEASON　




","***,405pt"
277,"　
殺戮の天使　



","***,158pt"
278,"　
アンゴルモア元寇合戦記　



","***,*76pt"
279,"　
七星のスバル　



","***,*71pt"
280,"　
3D彼女 リアルガール　



","**6,500pt"
281,"　
異世界居酒屋～古都アイテーリアの居酒屋のぶ～　






","*19,865pt"
282,"　
東京喰種トーキョーグール：re　







","*24,706pt"
283,"　
かくりよの宿飯　







","*24,563pt"
284,"　
シュタインズゲート　ゼロ　







","*21,919pt"
285,"　
ソードアート・オンライン オルタナティブ ガンゲイル・オンライン　







","*21,503pt"
286,"　
キャプテン翼　






","*15,220pt"
287,"　
TVアニメ「ペルソナ５」　







","*17,981pt"
288,"　
ヒナまつり　






","*13,564pt"
289,"　
フルメタル･パニック！ Invisible Victory　



","**3,166pt"
290,"　
ガンダムビルドダイバーズ　




","**6,177pt"
291,"　
多田くんは恋をしない　





","**7,436pt"
292,"　
こみっくがーるず　





","**6,393pt"
293,"　
デビルズライン　






","**7,184pt"
294,"　
銀河英雄伝説 Die Neue These　






","**7,086pt"
295,"　
ハイスクールD×D　HERO　






","**6,554pt"
296,"　
魔法少女 俺　






","**6,494pt"
297,"　
あっくんとカノジョ　





","**4,824pt"
298,"　
お前はまだグンマを知らない　



","**1,600pt"
299,"　
ウマ娘　プリティーダービー　






","**5,025pt"
300,"　
されど罪人は竜と踊る　





","**3,243pt"
301,"　
宇宙戦艦ティラミス　






","**2,936pt"
302,"　
ニル・アドミラリの天秤　





","**2,803pt"
303,"　
立花館To Lieあんぐる　





","**2,602pt"
304,"　
Caligula -カリギュラ-　






","**3,299pt"
305,"　
ラストピリオド ―終わりなき螺旋の物語―　　





","**2,230pt"
306,"　
あまんちゅ！～あどばんす～　





","**2,129pt"
307,"　
Lostorage conflated WIXOSS　




","**1,163pt"
308,"　
踏切時間　





","**1,372pt"
309,"　
ありすorありす　






","**1,553pt"
310,"　
美男高校地球防衛部HAPPY KISS！　





","**1,042pt"
311,"　
Butlers～千年百年物語～　






","**1,385pt"
312,"　
奴隷区 The Animation　



","***,153pt"
313,"　
レディスポ　




","***,109pt"
