,title,scores,tent
155,              ルパン三世  プリズン・オブ・ザ・パスト（TVアニメ動画）,3.4,50人が棚に入れました
156,              アサシンズプライド（TVアニメ動画）,3.0,827人が棚に入れました
157,              アイカツオンパレード！（TVアニメ動画）,4.2,67人が棚に入れました
158,              Fairy gone フェアリーゴーン 第2クール（TVアニメ動画）,2.4,360人が棚に入れました
159,              超人高校生たちは異世界でも余裕で生き抜くようです！（TVアニメ動画）,1.7,1028人が棚に入れました
160,              ノー・ガンズ・ライフ（TVアニメ動画）,4.0,424人が棚に入れました
161,              どるふろ -癒し編-（TVアニメ動画）,4.2,36人が棚に入れました
162,              真・中華一番！（TVアニメ動画）,3.2,214人が棚に入れました
163,              警視庁 特務部 特殊凶悪犯対策室 第七課 -トクナナ-（TVアニメ動画）,2.8,475人が棚に入れました
164,              XL上司。（TVアニメ動画）,3.0,125人が棚に入れました
165,              ファンタシースターオンライン2 エピソード・オラクル（TVアニメ動画）,4.0,204人が棚に入れました
166,              アフリカのサラリーマン（TVアニメ動画）,2.5,343人が棚に入れました
167,              戦×恋（TVアニメ動画）,4.0,558人が棚に入れました
168,              神田川JET GIRLS（TVアニメ動画）,3.2,371人が棚に入れました
169,              アズールレーン（TVアニメ動画）,4.0,526人が棚に入れました
170,              厨病激発ボーイ（TVアニメ動画）,3.7,315人が棚に入れました
171,              天華百剣 ～めいじ館へようこそ！～（TVアニメ動画）,4.6,106人が棚に入れました
172,              スタンドマイヒーローズ　PIECE OF TRUTH（TVアニメ動画）,3.5,169人が棚に入れました
173,              Z／X Code reunion（TVアニメ動画）,3.9,214人が棚に入れました
174,              ACTORS -Songs Connection-（TVアニメ動画）,2.0,105人が棚に入れました
175,              浦島坂田船の日常（TVアニメ動画）,1.0,47人が棚に入れました
176,              ポケットモンスター（TVアニメ動画）,3.8,58人が棚に入れました
177,              ゾイドワイルド ZERO（TVアニメ動画）,3.0,45人が棚に入れました
